,name,forks,stars,created_at,open_issues
47,ml-covid-mobility,8,7,2021-08-05 17:32:46,0
48,ml-cread,14,24,2021-04-23 22:37:41,1
49,ml-cvnets,167,1247,2021-10-21 23:12:39,22
50,ml-cvpr2019-swd,25,120,2019-05-29 20:29:40,2
51,ml-dab,8,17,2020-05-02 00:28:53,0
52,ml-data-parameters,25,71,2019-10-24 19:56:11,0
53,ml-dms-dataset,10,29,2022-07-20 22:06:58,0
54,ml-envmapnet,11,45,2021-06-21 18:57:59,0
55,ml-equivariant-neural-rendering,22,85,2020-12-16 18:32:35,1
56,ml-fct,8,41,2022-04-13 03:22:12,1
57,ml-flair,11,55,2020-12-09 18:31:43,0
58,ml-gaudi,24,557,2022-07-26 18:59:29,0
59,ml-gmpi,31,303,2022-07-19 20:49:58,1
60,ml-gsn,42,263,2021-04-05 16:19:44,9
61,ml-hierarchical-confusion-matrix,28,255,2022-03-22 03:02:11,5
62,ml-hypersim,119,1369,2020-11-16 21:46:50,0
63,ml-interspeech2022-phi_rtn,3,9,2022-08-02 18:06:00,0
64,ml-knowledge-conflicts,16,40,2021-09-13 17:05:26,0
65,ml-mkqa,18,110,2020-07-30 17:06:45,1
66,ml-mobileone,43,402,2022-07-13 18:29:33,8
67,ml-multiple-futures-prediction,26,110,2019-10-24 19:57:01,5
68,ml-ncg,11,10,2019-04-25 18:02:41,1
69,ml-neilf,6,58,2022-07-20 16:18:07,0
70,ml-neuman,121,1017,2022-07-20 16:21:42,29
71,ml-no-token-left-behind,14,129,2022-05-31 17:20:26,1
72,ml-probabilistic-attention,9,21,2021-04-08 00:43:00,0
73,ml-qrecc,20,97,2020-10-08 19:04:11,0
74,ml-quant,21,64,2020-05-12 17:07:50,1
75,ml-sad,5,22,2022-05-13 22:25:27,1
76,ml-selfcond,6,20,2022-06-06 20:07:55,0
77,ml-shuffling-amplification,11,13,2021-04-24 00:00:01,1
78,ml-spin,3,13,2022-07-13 18:38:09,0
79,ml-stable-diffusion,469,10559,2022-11-16 00:48:18,96
80,ml-stuttering-events-dataset,18,49,2021-04-16 22:37:38,2
81,ml-transcript-translation-consistency-ratings,8,6,2020-08-27 17:43:30,0
82,ml-tree-dst,8,27,2020-10-16 16:59:17,2
83,ml-uwac,10,30,2021-07-08 22:46:51,0
84,ml-vfi-smiff,3,9,2022-06-28 05:44:59,0
85,openjdk,20,75,2020-06-08 17:21:07,1
86,password-manager-resources,409,3740,2020-03-19 20:33:29,85
87,sample-cloudkit-coredatasync,14,154,2021-04-12 22:59:41,3
88,sample-cloudkit-encryption,13,65,2021-04-12 22:58:39,1
89,sample-cloudkit-privatedb,17,122,2021-04-12 22:59:12,0
90,sample-cloudkit-privatedb-sync,15,125,2021-04-12 22:52:26,0
91,sample-cloudkit-queries,14,102,2021-04-12 22:57:19,0
92,sample-cloudkit-sharing,32,253,2021-04-12 23:00:08,4
93,sample-cloudkit-tooling,7,15,2021-04-12 23:00:35,0
94,sample-cloudkit-zonesharing,6,24,2022-05-11 21:13:53,0
95,sample-food-truck,107,1488,2022-05-31 17:34:10,1
96,servicetalk,152,825,2018-09-07 00:14:48,95
97,sourcekit-lsp,229,2797,2018-10-26 03:39:21,43
98,swift,10026,62274,2015-10-23 21:15:07,6413
